video_code,video_id
n5MopEcWPfI,i4x-Engineering-CS145-video-vid-nonlinear_mutual_recursion-slice2
nf1-h2GpEGc,i4x-Engineering-CS145-video-vid-querying_relational_databases
oXd4mTA86MI,i4x-Engineering-CS145-video-vid-join_operators
oqvh6dwsIlA,i4x-Engineering-CS145-video-vid-view_modifications_introduction-slice1
pel2wJFi-v8,i4x-Engineering-CS145-video-vid-authorization-slice2
qKNb8YQYTZg,i4x-Engineering-CS145-video-vid-data_modification_statements
qdHqidsGfNU,i4x-Engineering-CS145-video-vid-relational_algebra_part_1-slice4
qdR2z_Ws56k,i4x-Engineering-CS145-video-vid-null_values
r6ALmAXRHQM,i4x-Engineering-CS145-video-vid-transactions_properties-slice2
r_h9yBnNh0U,i4x-Engineering-CS145-video-vid-relational_algebra_part_2-slice1
s9iRD-zrxS0,i4x-Engineering-CS145-video-vid-triggers_introduction
sciXmZFvJgg,i4x-Engineering-CS145-video-vid-boyce-codd_normal_form-slice2
spQ7IFksP9g,i4x-Engineering-CS145-video-vid-the_relational_model
thcqxTlSAmw,i4x-Engineering-CS145-video-vid-table_variables_and_set_operators
uLsy7BelTJ4,i4x-Engineering-CS145-video-vid-isolation_levels-slice1
uU7JBM3cAWU,i4x-Engineering-CS145-video-vid-basic_recursive_with_statement_demo
wxFmiRwXcQY,i4x-Engineering-CS145-video-vid-introduction_to_sql
x81SX-zqZIc,i4x-Engineering-CS145-video-vid-defining_and_using_views
y7NRvF4C-f8,i4x-Engineering-CS145-video-vid-materialized_views-slice2
yMVUkaE436c,i4x-Engineering-CS145-video-vid-functional_dependencies-slice3
zFeSglmrY78,i4x-Engineering-CS145-video-vid-referential_integrity-slice1
'video_code','video_id'
